,sex,when,âπâCÇÃà¯Ç´êLÇŒÇµL,ÉtÉBÉâÅ[L,åÍÇÃíÜífL,åÍãÂÇÃåJÇËï‘ÇµL,åÍãÂÇÃåæÇ¢íºÇµL,âπâCÇÃà¯Ç´êLÇŒÇµR,ÉtÉBÉâÅ[R,åÍÇÃíÜífR,åÍãÂÇÃåJÇËï‘ÇµR,åÍãÂÇÃåæÇ¢íºÇµR,L,R,MeanTimeL,MeanTimeR,MaxL,MaxR,MinL,MinR,RangeL,RangeR
FAOMFUN1,FM,Before,27.0,8.0,2.0,1.0,0.0,37.0,11.0,8.0,6.0,2.0,88,134,1.3819063529514837,1.1821471024578372,6.6809554964605695,4.317999999999984,0.0932983804298999,0.1084588958534311,6.58765711603067,4.2095411041465525
FAOMFUN2,FM,Later,39.0,18.0,12.0,4.0,9.0,11.0,19.0,2.0,2.0,1.0,93,104,1.4368387096774176,2.012384615384616,6.464999999999975,8.733000000000004,0.2300000000000004,0.171999999999997,6.234999999999975,8.561000000000007
FAOMNAN1,FM,Before,30.0,11.0,7.0,0.0,6.0,40.0,13.0,7.0,8.0,0.0,95,157,1.5256892882410935,1.023407158187283,6.747930402847672,5.148885947928704,0.2098255853511546,0.1267763391856817,6.538104817496517,5.022109608743023
FAOMNAN2,FM,Later,68.0,18.0,7.0,3.0,3.0,8.0,3.0,1.0,2.0,0.0,101,169,0.7865079495811137,1.1786404476038697,3.5749891945723675,5.175827844528101,0.169682961783451,0.0070244643891328,3.4053062327889165,5.168803380138968
MAKMTKN1,MM,Before,6.0,4.0,0.0,0.0,1.0,28.0,7.0,1.0,9.0,0.0,88,71,1.6613068181818198,1.1334507042253523,5.597999999999985,4.241,0.3379999999999938,0.2279999999999802,5.259999999999991,4.013000000000019
MAKMTKN2,MM,Later,4.0,0.0,0.0,0.0,0.0,34.0,5.0,3.0,10.0,4.0,100,46,1.8886300000000016,1.1565869565217397,6.5919999999999845,3.6229999999999913,0.2439999999999997,0.29,6.347999999999985,3.3329999999999904
MTKMTTF1,MM,Before,12.0,1.0,0.0,1.0,3.0,57.0,9.0,4.0,4.0,2.0,98,60,2.6367244897959203,1.807816666666664,14.358000000000004,5.778000000000006,0.5349999999999682,0.2800000000000011,13.823000000000036,5.498000000000005
MTKMTTF2,MM,Later,46.0,17.0,6.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,116,39,2.180741379310344,0.930794871794869,13.831,3.733000000000004,0.1920000000000072,0.2160000000000081,13.638999999999994,3.516999999999996
